Name,Property,Interpretation,Result,Time,Size,Result,Time,Size,Result,Time,Size,Result,Time,Size
Berkeley,exclusiveexclusive,Trap,NOTOK,2.472ms,-,NOTOK,2.547ms,-,NOTOK,2.77ms,--,NOTOK,2.254ms,-
